lon,lat
-79.4023375053064,43.7748021900424
-79.3573182300092,43.7436361353399
-79.3283939393069,43.6724788012882
-79.3375488937949,43.6773100919257
-79.3703517793087,43.7494384922239
-79.5672985823307,43.6581996405558
-79.4002986133126,43.7718658996376
-79.3144923404938,43.6741314913331
-79.4028320239439,43.6482925567757
-79.3774176829481,43.6558494466038
-79.305423842907,43.6675852921821
-79.3944773066848,43.6796938469787
-79.4068851114995,43.6889475356968
-79.3354080189645,43.6639128119632
-79.3670335822828,43.7027528685518
-79.4946246790011,43.6635765625364
-79.2563088575688,43.7096117708324
-79.3340388173915,43.6892680739799
-79.3627724348524,43.7166289060943
-79.4175172968376,43.6473078855379
-79.3695209588596,43.6591890383824
-79.430396787191,43.6687874106287
-79.3526994815418,43.7422613132183
-79.3353978622015,43.6747681066364
-79.3478561610275,43.682170624027
-79.3670069748816,43.6983309692068
-79.3671582696027,43.7556004216996
-79.355686058147,43.6804847687854
-79.392839924364,43.7821094489002
-79.3932901168633,43.7775046836453
-79.4759296457081,43.6776343100814
-79.4311515279696,43.6475886064606
-79.3513496839881,43.6949645163597
-79.3776701109273,43.7701061542446
-79.3090521029436,43.6702399412677
-79.6079264029554,43.7383296003146
-79.5156832976612,43.6020348651195
-79.2992060755136,43.6934398378224
-79.4130348435134,43.673337897122
-79.4299246128225,43.6625645790921
-79.4406153351856,43.6441281944817
-79.3544930239492,43.6751552155858
-79.3927536917621,43.7734164303198
-79.3364643677963,43.6708885355959
-79.3358378747287,43.6674567376309
-79.3768367607137,43.6939047392892
-79.3447573347441,43.6769496834099
-79.3711628365702,43.7085409620103
-79.3936319934067,43.768381794735
-79.4517891790691,43.6482975276685
-79.3741203436131,43.708218469874
-79.3440244573082,43.6734050660972
-79.4112706916953,43.6489571366606
-79.4326257305166,43.6588559297944
-79.3511235093313,43.6838936540329
-79.3585150238567,43.7493484575784
-79.1611434712344,43.7772119011076
-79.3016689455862,43.6693591980632
-79.3639810171225,43.6553214538393
-79.423851566413,43.6630517984531
-79.4073473466978,43.6498376884315
-79.4042618872213,43.7801787055426
-79.3254926969757,43.663941157013
